Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,4/27/12,10436
HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,4/27/12,10435
Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,4/27/12,10434
"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,4/20/12,10433
Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,3/30/12,10432
Premier Bank,Wilmette,IL,35419,International Bank of Chicago,3/23/12,10431
Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.",3/23/12,10430
New City Bank,Chicago,IL,57597,No Acquirer,3/9/12,10429
Global Commerce Bank,Doraville,GA,34046,Metro City Bank,3/2/12,10428
Home Savings of America,Little Falls,MN,29178,No Acquirer,2/24/12,10427
Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,2/24/12,10426
SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",2/10/12,10425
Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",2/10/12,10424
BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",1/27/12,10420
Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,1/27/12,10422
Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,1/27/12,10423
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",1/27/12,10421
American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",1/20/12,10417
The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,1/20/12,10419
Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",1/20/12,10418
Western National Bank,Phoenix,AZ,57917,Washington Federal,12/16/11,10416
Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,12/16/11,10415
Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,11/18/11,10413
Polk County Bank,Johnston,IA,14194,Grinnell State Bank,11/18/11,10414
Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,11/10/11,10412
SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,11/4/11,10411
"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,11/4/11,10410
All American Bank,Des Plaines,IL,57759,International Bank of Chicago,10/28/11,10409
Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",10/21/11,10405
Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,10/21/11,10406
Decatur First Bank,Decatur,GA,34392,Fidelity Bank,10/21/11,10407
Old Harbor Bank,Clearwater,FL,57537,1st United Bank,10/21/11,10408
Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,10/14/11,10402
First State Bank,Cranford,NJ,58046,Northfield Bank,10/14/11,10403
"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,10/14/11,10401
Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,10/14/11,10404
Sun Security Bank,Ellington,MO,20115,Great Southern Bank,10/7/11,10400
The RiverBank,Wyoming,MN,10216,Central Bank,10/7/11,10399
First International Bank,Plano,TX,33513,American First National Bank,9/30/11,10398
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,9/23/11,10397
Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,9/23/11,10396
The First National Bank of Florida,Milton,FL,25155,CharterBank,9/9/11,10395
CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,9/2/11,10393
Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,9/2/11,10394
First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,8/19/11,10390
First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,8/19/11,10391
Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.",8/19/11,10392
Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",8/18/11,10389
The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,8/12/11,10388
Bank of Whitman,Colfax,WA,22528,Columbia State Bank,8/5/11,10387
Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,8/5/11,10386
Integra Bank National Association,Evansville,IN,4392,Old National Bank,7/29/11,10384
"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,7/29/11,10383
Virginia Business Bank,Richmond,VA,58283,Xenith Bank,7/29/11,10385
Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",7/22/11,10380
